phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11,phase_cycle12,phase_cycle13,phase_cycle14,phase_cycle15,phase_cycle16,phase_cycle17,phase_cycle18,phase_cycle19,phase_cycle20,phase_cycle21,phase_cycle22,phase_cycle23,phase_cycle24,phase_cycle25,phase_cycle26,phase_cycle27,phase_cycle28,phase_cycle29,phase_cycle30,phase_cycle31,phase_cycle32,phase_cycle33,phase_cycle34,phase_cycle35
165.03328043599515,74.6237487511738,-137.29061004263855,-46.10881212775993,171.86989764584402,85.5278699357156,65.63754698468783,6.694229131893169,,-71.93952806380082,28.726130665304368,-163.51124629410873,,177.27368900609375,7.660475334466331,35.60453398043311,,173.23382517744693,173.23382517744693,37.195901408056095,,-51.49934627965457,,-5.856013585428957,-101.48898120215921,15.945395900922854,,-48.99091309842978,-47.10692129068815,22.873665190626713,,-164.21924669048462,-129.902600262021,,136.88818800674093
168.7435649702961,77.50108054036129,-128.29016319224309,-48.489324905796394,167.12499844038754,86.56013030625398,73.55962047831983,8.388688900560066,,-70.51387042753424,26.56505117707799,-160.75047412731828,,-173.99099404250546,10.275358164878133,34.40847225202862,,171.94558555361826,171.94558555361826,38.530180014826826,,-50.02146104220185,,-5.237476066812513,-100.2139729850705,-149.03624346792648,,-52.47573738554823,-43.8542371618249,19.486129572465757,,-162.0505970070861,-124.64667995607057,,138.65222278030635
169.81758022421408,77.23233685531713,-124.8244891569568,-43.28506980447346,176.30861401354872,89.01223960036019,69.8293465881496,11.14700652592191,,-68.96248897457819,30.784146526326445,-159.66077788734776,,178.1523897340054,8.921301654441667,37.375807495548166,,173.13630808537295,173.13630808537295,42.80942613596178,,-50.02907358178545,,-2.3278150890411546,-100.90502204523445,15.255118703057775,,-46.0912162252626,-44.230975317421965,28.610459665965216,,-162.41651812223355,-127.08583549095236,,141.69800616999132
171.0273733851036,81.5110561194953,-126.86989764584402,-45.32008482378167,174.3824194098732,90.32928246384668,73.88658176691071,8.82478420910902,,-68.19859051364818,32.114830600296735,-157.4901780271128,,-175.76360520094119,13.88466768525817,43.99491399474582,,177.10873040377945,177.10873040377945,39.69267315066882,,-48.231009900368214,,-3.01278750418334,-96.80131482398158,180.0,,-45.27154194568452,-40.51539399045538,18.741340445192723,,-159.14554196042167,-122.16118372009922,,140.86597114172656
174.04754056203245,80.58300672200544,-137.72631099390625,-39.025676713519374,178.95837332399003,91.01099705233041,71.17528998175993,15.23111544534469,,-65.00969388867519,33.231711067979354,-156.73681449735702,,177.27368900609375,11.18537662781296,38.072781873990834,,175.91438322002512,175.91438322002512,45.0,,-46.32197565953698,,1.3426240265377571,-95.76788889791415,-26.56505117707799,,-45.0,-39.980146357980445,28.950995207466804,,-159.61384540041917,-122.93869054295548,,146.30993247402023
174.6106882400266,83.01894259317021,-51.34019174590991,-42.049220890993645,175.6012946450045,94.18491612511842,73.14160123226172,13.526394594055022,,-63.43494882292201,34.80401175271321,-153.434948822922,,-173.6598082540901,15.442446600069568,45.0,,179.35625428582463,179.35625428582463,45.343084399523526,,-45.2246881796245,,-0.4063462333090346,-96.84277341263095,0.0,,-42.10873040377944,-37.76016260337797,26.00334584451144,,-158.06611495893696,-120.41108126712538,,144.07475802100868
176.49097341138344,85.93505269225729,-126.86989764584402,-35.995220874722705,-177.27368900609375,93.7685297091354,77.79953127261922,17.417970792202837,,-61.31385242626057,36.285267125138844,-154.65382405805332,,171.2538377374448,15.22818133808759,45.64374571417538,,178.7269699799433,178.7269699799433,46.71493019552655,,-42.658354537800854,,2.9038188650962766,-90.64374571417538,-11.309932474020215,,-42.63862534182439,-35.63155391689416,29.89890183861456,,-155.55604521958347,-119.66308866226409,,147.3807569288072
178.3476953223487,85.71084667118099,26.56505117707799,-37.34934904464059,-178.69804732742114,96.34019174590992,69.44395478041653,17.14278193667208,,-62.35402463626132,35.53767779197438,-151.0976429637982,,-159.44395478041653,18.90845688165694,46.77146974003408,,-178.6521127198014,-178.6521127198014,48.01278750418334,,-41.09950625761811,,3.576334374997351,-90.0,21.80140948635181,,-41.22771639062016,-36.166585348781,28.072486935852957,,-156.17573941710458,-115.95876926156063,,149.1800819427709
-179.73100770630353,88.51598532433789,45.0,-35.81945804237385,-172.30394827798344,97.38604315126729,81.57303097851933,21.16913877435742,,-57.488085768948515,40.200163886095304,-150.70863782901574,,90.0,18.711737875099768,46.43209618416465,,-177.67846941016728,-177.67846941016728,53.02723751043195,,-41.018801343578374,,7.266954405811692,-90.72522429905926,-26.56505117707799,,-36.42228347498347,-32.94504086484837,38.659808254090095,,-152.54900222906778,-115.70995378081129,,151.17757023372775
-178.0725041133281,89.69523808957892,23.198590513648185,-31.557132343169627,178.02506598911802,98.41234529042684,76.7594800848128,21.17808924196128,,-59.481769321124766,38.90413845540419,-149.53445508054014,,0.0,23.005155125977073,54.58294472353257,,-176.28471089457122,-176.28471089457122,50.71059313749964,,-36.8107078120311,,5.228191885272336,-86.5106750942036,-8.130102354155978,,-39.45153370628193,-33.393584896642885,26.56505117707799,,-153.5811112087015,-112.89726312154657,,152.20297142028227
-176.98721249581666,91.47636850981311,63.43494882292201,-33.3741013566914,-160.8209919741893,100.07247783743895,78.69006752597979,22.514386828035356,,-55.520784313874366,40.155999624919325,-149.60127228583394,,48.81407483429035,21.476790979540382,46.46880071438582,,-172.98349825527708,-172.98349825527708,55.69221215528403,,-36.928243633326645,,8.027237510431954,-84.4470289669632,45.0,,-32.360937559369894,-28.76295757833077,32.27564431457763,,-148.43430422536358,-111.1247191460725,,155.2436881454141
-172.97526787689327,92.23947593795188,39.472459848343824,-29.882832345412833,167.19573393471325,100.59476571233714,90.0,25.371561753095953,,-52.43140797117251,45.61605990839924,-142.59464336859145,,21.80140948635181,26.819132790969228,57.52880770915151,,-172.98349825527708,-172.98349825527708,55.26514046021372,,-34.89696299914845,,8.935613842581752,-84.52263127117112,-26.56505117707799,,-34.38034472384487,-29.3140940799336,36.25383773744479,,-150.29468760527064,-110.25646217452314,,154.74230191770206
