phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11
180.0,170.53767779197437,-110.55604521958348,-146.30993247402023,71.56505117707799,26.56505117707799,26.56505117707799,171.86989764584402,,-108.43494882292202,
-29.74488129694222,-108.43494882292202,26.56505117707799,180.0,0.0,45.0,45.0,180.0,,-135.0,
-168.6900675259798,146.30993247402023,-104.03624346792648,153.434948822922,75.96375653207353,-18.43494882292201,-18.43494882292201,-135.0,,-90.0,
26.56505117707799,-135.0,26.56505117707799,-128.6598082540901,33.690067525979785,53.13010235415598,53.13010235415598,-165.96375653207352,,-56.309932474020215,
-98.13010235415598,158.19859051364818,-63.43494882292201,90.0,146.30993247402023,0.0,0.0,-90.0,,45.0,
83.6598082540901,-45.0,0.0,-108.43494882292202,21.80140948635181,-45.0,-45.0,45.0,,-90.0,
-71.56505117707799,158.19859051364818,0.0,-135.0,156.80140948635182,56.309932474020215,56.309932474020215,-141.34019174590992,,0.0,
78.69006752597979,-63.43494882292201,-63.43494882292201,-90.0,18.43494882292201,-80.53767779197439,-80.53767779197439,0.0,,-53.13010235415598,
-90.0,-170.53767779197437,26.56505117707799,-135.0,111.80140948635183,57.9946167919165,57.9946167919165,-174.28940686250036,,63.43494882292201,
36.86989764584402,-153.434948822922,-59.03624346792648,-21.80140948635181,180.0,90.0,90.0,-33.690067525979785,,-56.309932474020215,
0.0,-90.0,80.53767779197439,-120.96375653207352,56.309932474020215,-68.19859051364818,-68.19859051364818,-161.565051177078,,-71.56505117707799,
180.0,180.0,-63.43494882292201,59.03624346792648,165.96375653207352,72.89727103094764,72.89727103094764,-90.0,,11.309932474020215,
14.036243467926479,-77.47119229084849,38.659808254090095,-94.76364169072619,90.0,-101.30993247402021,-101.30993247402021,-56.309932474020215,,-63.43494882292201,
153.434948822922,99.46232220802563,165.96375653207352,95.71059313749964,-75.96375653207353,75.96375653207353,75.96375653207353,-45.0,,9.462322208025617,
-14.036243467926479,-97.12501634890181,8.130102354155978,-80.53767779197439,101.30993247402021,123.6900675259798,123.6900675259798,-108.43494882292202,,90.0,
141.34019174590992,45.0,180.0,123.6900675259798,-135.0,153.434948822922,153.434948822922,14.036243467926479,,-18.43494882292201,
-23.198590513648185,-90.0,0.0,-101.30993247402021,66.80140948635182,45.0,45.0,-108.43494882292202,,56.309932474020215,
135.0,-45.0,26.56505117707799,26.56505117707799,-149.03624346792648,126.86989764584402,126.86989764584402,45.0,,0.0,
30.96375653207352,-90.0,146.30993247402023,-90.0,135.0,63.43494882292201,63.43494882292201,-80.53767779197439,,-18.43494882292201,
153.434948822922,-68.19859051364818,-18.43494882292201,45.0,90.0,168.6900675259798,168.6900675259798,80.53767779197439,,38.659808254090095,
-26.56505117707799,68.19859051364818,63.43494882292201,-74.05460409907715,-172.8749836510982,123.6900675259798,123.6900675259798,-75.96375653207353,,-135.0,
135.0,-80.53767779197439,0.0,26.56505117707799,45.0,0.0,0.0,78.69006752597979,,33.690067525979785,
71.56505117707799,45.0,90.0,-104.03624346792648,-153.434948822922,116.56505117707799,116.56505117707799,-33.690067525979785,,-158.19859051364818,
180.0,-33.690067525979785,18.43494882292201,21.80140948635181,123.6900675259798,135.0,135.0,-56.309932474020215,,38.659808254090095,
45.0,-90.0,90.0,-71.56505117707799,-165.96375653207352,-26.56505117707799,-26.56505117707799,0.0,,-161.565051177078,
80.53767779197439,0.0,-135.0,45.0,161.565051177078,150.2551187030578,150.2551187030578,26.56505117707799,,14.036243467926479,
-123.6900675259798,-104.03624346792648,90.0,0.0,-135.0,-71.56505117707799,-71.56505117707799,-21.80140948635181,,143.13010235415598,
90.0,7.125016348901798,101.30993247402021,-26.56505117707799,108.43494882292202,153.434948822922,153.434948822922,0.0,,21.80140948635181,
146.30993247402023,-153.434948822922,-90.0,33.690067525979785,-113.1985905136482,90.0,90.0,45.0,,180.0,
135.0,9.462322208025617,180.0,-116.56505117707799,123.6900675259798,-123.6900675259798,-123.6900675259798,-56.309932474020215,,45.0,
153.434948822922,63.43494882292201,126.86989764584402,26.56505117707799,-126.86989764584402,153.434948822922,153.434948822922,54.46232220802562,,180.0,
75.96375653207353,-26.56505117707799,-90.0,-153.434948822922,135.0,68.19859051364818,68.19859051364818,-116.56505117707799,,75.96375653207353,
168.6900675259798,45.0,146.30993247402023,29.74488129694222,-108.43494882292202,-125.53767779197437,-125.53767779197437,0.0,,123.6900675259798,
146.30993247402023,-71.56505117707799,104.03624346792648,26.56505117707799,-135.0,63.43494882292201,63.43494882292201,26.56505117707799,,0.0,
0.0,60.25511870305778,-135.0,-26.56505117707799,-146.30993247402023,165.96375653207352,165.96375653207352,0.0,,120.96375653207352,
153.434948822922,-108.43494882292202,90.0,53.13010235415598,-26.56505117707799,-116.56505117707799,-116.56505117707799,-26.56505117707799,,180.0,
0.0,60.25511870305778,168.6900675259798,0.0,-168.6900675259798,63.43494882292201,63.43494882292201,56.309932474020215,,90.0,
-153.434948822922,-111.80140948635183,-45.0,180.0,-14.036243467926479,-108.43494882292202,-108.43494882292202,-26.56505117707799,,-153.434948822922,
98.13010235415598,60.94539590092286,180.0,66.80140948635182,172.8749836510982,101.30993247402021,101.30993247402021,63.43494882292201,,108.43494882292202,
-108.43494882292202,-146.30993247402023,45.0,-146.30993247402023,-45.0,-77.47119229084849,-77.47119229084849,-116.56505117707799,,-143.13010235415598,
171.86989764584402,50.19442890773481,-140.19442890773482,68.19859051364818,116.56505117707799,130.6012946450045,130.6012946450045,63.43494882292201,,97.12501634890181,
