phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6
165.03328043599515,74.6237487511738,-137.29061004263855,-46.10881212775993,171.86989764584402,85.5278699357156
168.7435649702961,77.50108054036129,-128.29016319224309,-48.489324905796394,167.12499844038754,86.56013030625398
169.81758022421408,77.23233685531713,-124.8244891569568,-43.28506980447346,176.30861401354872,89.01223960036019
171.0273733851036,81.5110561194953,-126.86989764584402,-45.32008482378167,174.3824194098732,90.32928246384668
174.04754056203245,80.58300672200544,-137.72631099390625,-39.025676713519374,178.95837332399003,91.01099705233041
174.6106882400266,83.01894259317021,-51.34019174590991,-42.049220890993645,175.6012946450045,94.18491612511842
176.49097341138344,85.93505269225729,-126.86989764584402,-35.995220874722705,-177.27368900609375,93.7685297091354
178.3476953223487,85.71084667118099,26.56505117707799,-37.34934904464059,-178.69804732742114,96.34019174590992
-179.73100770630353,88.51598532433789,45.0,-35.81945804237385,-172.30394827798344,97.38604315126729
-178.0725041133281,89.69523808957892,23.198590513648185,-31.557132343169627,178.02506598911802,98.41234529042684
-176.98721249581666,91.47636850981311,63.43494882292201,-33.3741013566914,-160.8209919741893,100.07247783743895
-172.97526787689327,92.23947593795188,39.472459848343824,-29.882832345412833,167.19573393471325,100.59476571233714
-176.3358156792593,94.83889880092329,62.59242456218159,-28.810793742973065,-136.97493401088198,104.72297506175023
-169.01134890350602,96.12693300549408,62.52556837372287,-25.164074973294277,161.565051177078,101.88865803962798
-171.04186763713773,98.62518317817047,55.885527054658745,-25.295546400326565,-130.6012946450045,108.84322537694703
-168.91171353643924,98.3176492441064,66.03751102542182,-23.895161415070366,-71.56505117707799,106.18920625702695
-165.6889587373936,100.9111283842834,65.65891006330749,-19.72227776444705,33.690067525979785,112.40540888336535
-166.8567838908082,101.97613244420337,67.98871680208065,-20.89776549883886,-8.130102354155978,109.04123073843937
-164.05460409907712,103.60610305424932,70.55996517182382,-16.24763157278565,12.094757077012101,114.64166199955834
-162.5765890464469,106.52952974363855,69.55045238920742,-18.95111305268685,8.130102354155978,115.60218755144177
-161.37842063351243,106.30509562065657,74.42745640318974,-13.671307132195833,12.2647737278924,113.86017519134235
-159.1988031856222,108.77803322244554,73.30075576600639,-14.48976259388445,22.16634582208246,119.67308211207782
-158.8752808539275,111.2092261342228,77.95742485711502,-12.136824455292272,14.420773127510985,117.34987578006988
-156.47679097954037,110.73523393799697,74.35775354279127,-9.940573033113026,17.447188423282203,121.48746936421398
-156.63794122942898,114.30454926593673,82.05652818940959,-9.853080204174821,29.167613379577798,123.34070734647699
-152.58197294253958,113.25259217486162,79.06618321424422,-6.054191894114834,20.409882833803987,122.57405713457253
-153.72578784527258,116.95217893122894,83.6598082540901,-6.495801845417636,30.618605408909396,125.70669140060288
-150.0940628250366,117.91976642810863,86.07409229631602,-3.794672268315776,27.847578259788165,129.44005273669046
-149.03624346792648,119.6871816391937,84.75286109838356,-3.6109646394495107,28.967660646064033,127.56859202882748
-148.10278994126247,120.0896862387767,89.47914362549805,-1.9556813975228868,32.34744349944203,131.42366562500263
-145.0369024539635,124.10127419424715,90.0,-1.1123996162977923,34.34609740006152,129.8055710922652
-143.8418145601917,123.6900675259798,90.0,1.6211459136534117,34.93093730111058,134.2559407971113
-141.1701750950296,125.07375449334829,95.05724853255914,3.3177811683348435,37.81573260757314,136.50743575877496
-139.85309638699238,130.0302592718897,93.05869757409583,4.606297850641857,37.52844082340763,135.0
-139.80795396303046,126.10745129175189,96.49352531253926,6.037682521422889,42.357454705935275,144.2933085993971
-136.39718102729637,132.436229788535,96.43473915103672,7.980113745168521,40.2720121811578,127.99873244250468
-137.89126959622058,126.3843518158359,96.80905017961341,8.930590100418996,43.386461067118816,150.01836063115067
-133.5607103721176,139.08561677997488,99.79620991747453,10.996272580887428,45.389761195318066,133.66778014613035
-135.6365935759635,132.67218491095886,103.74491150656971,13.255872481677512,45.0,143.7461622625552
-131.98721249581666,139.89909245378777,101.23444400714209,12.557556216278874,49.28915332881902,145.00797980144134
-130.6012946450045,140.98059952476348,107.33088417729616,16.570951166913858,47.66300076606714,140.19442890773482
-128.80358657089567,135.0,106.04426686320365,16.017784718392438,52.28895232361013,127.87498365109822
-126.86989764584402,148.5704343851615,109.62843824690407,18.010543403560536,50.77432590266328,-153.434948822922
-125.8376529542783,135.7440592028887,110.27557860899097,20.369313302187166,56.67878432806042,53.13010235415598
-124.28687697720896,148.86102756302114,113.34052857055809,21.75150028337146,54.16234704572171,-10.304846468766033
-122.38067770656926,141.14662565964667,112.41614747934365,22.148052151084332,57.9946167919165,-36.86989764584402
-121.45682335755527,151.18920625702694,115.20112364547509,25.35900239785803,60.35554941442183,-12.2647737278924
-121.18497465873838,148.49573328079583,117.00691218202626,26.203948104171165,60.1540680503126,-22.380135051959574
-117.18111108547723,149.85861444792465,118.10941621176592,27.291808555619742,63.758650347842234,-7.853313301978219
-118.03385189146383,151.55707137563667,118.92642583525362,30.774036101248207,64.50244850666222,-9.462322208025617
-112.79652146794261,154.4400348281762,121.90810693565318,31.288506460567486,64.05770451012833,-11.59217541029107
-114.37646861667479,146.30993247402023,121.87313698127265,33.76823361597556,69.14554196042165,-2.602562202499806
-111.16125981682828,149.74356283647072,126.86989764584402,34.07051199781962,68.26318550264298,-14.931417178137552
-107.17590361574676,153.434948822922,125.11587599247794,35.53767779197438,71.3504612459486,-4.0141756954110255
-109.59228189105154,135.0,127.97720616442682,38.173137661526304,70.30137862541973,-10.885527054658738
-103.44861505168653,116.56505117707799,130.30713749441017,38.74870776306538,77.39984017391933,0.0
-99.86580694308438,-20.556045219583464,131.37342821612037,41.462580570012484,72.66483506664974,-5.440332031005506
-103.39249775375112,24.443954780416536,133.13905893398697,42.954591511112774,80.32664456759652,1.527525442212927
