phase_cycle1,phase_cycle2,phase_cycle3
-90.0,63.43494882292201,63.43494882292201
104.03624346792648,-45.0,-45.0
-50.19442890773481,105.94539590092286,105.94539590092286
180.0,-54.46232220802562,-54.46232220802562
-21.80140948635181,78.69006752597979,78.69006752597979
-116.56505117707799,-71.56505117707799,-71.56505117707799
45.0,90.0,90.0
-71.56505117707799,-45.0,-45.0
63.43494882292201,56.309932474020215,56.309932474020215
-33.690067525979785,-108.43494882292202,-108.43494882292202
-33.690067525979785,23.198590513648185,23.198590513648185
116.56505117707799,180.0,180.0
0.0,26.56505117707799,26.56505117707799
116.56505117707799,-90.0,-90.0
-26.56505117707799,75.96375653207353,75.96375653207353
0.0,-153.434948822922,-153.434948822922
126.86989764584402,57.9946167919165,57.9946167919165
-26.56505117707799,-149.03624346792648,-149.03624346792648
116.56505117707799,30.96375653207352,30.96375653207352
-18.43494882292201,135.0,135.0
126.86989764584402,-45.0,-45.0
45.0,116.56505117707799,116.56505117707799
153.434948822922,-146.30993247402023,-146.30993247402023
63.43494882292201,90.0,90.0
18.43494882292201,146.30993247402023,146.30993247402023
135.0,56.309932474020215,56.309932474020215
-18.43494882292201,143.13010235415598,143.13010235415598
141.34019174590992,-135.0,-135.0
-26.56505117707799,116.56505117707799,116.56505117707799
161.565051177078,-135.0,-135.0
18.43494882292201,78.69006752597979,78.69006752597979
161.565051177078,-153.434948822922,-153.434948822922
-45.0,-45.0,-45.0
120.96375653207352,126.86989764584402,126.86989764584402
135.0,-90.0,-90.0
-90.0,116.56505117707799,116.56505117707799
128.6598082540901,-116.56505117707799,-116.56505117707799
-90.0,180.0,180.0
153.434948822922,-90.0,-90.0
45.0,180.0,180.0
-170.53767779197437,180.0,180.0
14.036243467926479,-123.6900675259798,-123.6900675259798
-144.46232220802563,0.0,0.0
33.690067525979785,180.0,180.0
-161.565051177078,-108.43494882292202,-108.43494882292202
-63.43494882292201,0.0,0.0
-153.434948822922,-149.03624346792648,-149.03624346792648
180.0,0.0,0.0
-153.434948822922,-135.0,-135.0
0.0,18.43494882292201,18.43494882292201
-161.565051177078,-100.30484646876603,-100.30484646876603
-135.0,54.46232220802562,54.46232220802562
-90.0,-105.94539590092286,-105.94539590092286
180.0,26.56505117707799,26.56505117707799
-78.69006752597979,-78.69006752597979,-78.69006752597979
90.0,0.0,0.0
-95.71059313749964,-38.659808254090095,-38.659808254090095
45.0,165.96375653207352,165.96375653207352
-113.1985905136482,-8.130102354155978,-8.130102354155978
36.86989764584402,135.0,135.0
-123.6900675259798,0.0,0.0
-90.0,-33.690067525979785,-33.690067525979785
45.0,21.80140948635181,21.80140948635181
-59.03624346792648,-135.0,-135.0
90.0,21.80140948635181,21.80140948635181
-63.43494882292201,75.96375653207353,75.96375653207353
45.0,0.0,0.0
-141.34019174590992,71.56505117707799,71.56505117707799
14.036243467926479,63.43494882292201,63.43494882292201
-153.434948822922,135.0,135.0
18.43494882292201,11.309932474020215,11.309932474020215
-153.434948822922,90.0,90.0
26.56505117707799,-90.0,-90.0
-90.0,90.0,90.0
56.309932474020215,-63.43494882292201,-63.43494882292201
90.0,123.6900675259798,123.6900675259798
-45.0,-75.96375653207353,-75.96375653207353
99.46232220802563,104.03624346792648,104.03624346792648
-26.56505117707799,-56.309932474020215,-56.309932474020215
108.43494882292202,116.56505117707799,116.56505117707799
74.05460409907715,-26.56505117707799,-26.56505117707799
-104.03624346792648,126.86989764584402,126.86989764584402
78.69006752597979,0.0,0.0
153.434948822922,143.13010235415598,143.13010235415598
63.43494882292201,0.0,0.0
108.43494882292202,116.56505117707799,116.56505117707799
153.434948822922,168.6900675259798,168.6900675259798
90.0,90.0,90.0
-90.0,180.0,180.0
150.2551187030578,90.0,90.0
36.86989764584402,153.434948822922,153.434948822922
-165.96375653207352,-90.0,-90.0
63.43494882292201,123.6900675259798,123.6900675259798
180.0,-116.56505117707799,-116.56505117707799
153.434948822922,90.0,90.0
180.0,-135.0,-135.0
180.0,71.56505117707799,71.56505117707799
161.565051177078,-123.6900675259798,-123.6900675259798
-165.96375653207352,-45.0,-45.0
135.0,180.0,180.0
135.0,-66.80140948635182,-66.80140948635182
143.13010235415598,123.6900675259798,123.6900675259798
-56.309932474020215,-99.46232220802563,-99.46232220802563
180.0,26.56505117707799,26.56505117707799
-33.690067525979785,-90.0,-90.0
153.434948822922,180.0,180.0
-135.0,-36.86989764584402,-36.86989764584402
45.0,18.43494882292201,18.43494882292201
-135.0,-153.434948822922,-153.434948822922
14.036243467926479,-51.34019174590991,-51.34019174590991
-108.43494882292202,90.0,90.0
135.0,-90.0,-90.0
-30.96375653207352,63.43494882292201,63.43494882292201
-171.86989764584402,-68.19859051364818,-68.19859051364818
-12.528807709151511,180.0,180.0
161.565051177078,-21.80140948635181,-21.80140948635181
-71.56505117707799,0.0,0.0
18.43494882292201,30.96375653207352,30.96375653207352
180.0,-71.56505117707799,-71.56505117707799
-71.56505117707799,75.96375653207353,75.96375653207353
45.0,-45.0,-45.0
-26.56505117707799,104.03624346792648,104.03624346792648
45.0,0.0,0.0
0.0,135.0,135.0
0.0,63.43494882292201,63.43494882292201
-90.0,0.0,0.0
45.0,90.0,90.0
-45.0,180.0,180.0
90.0,51.34019174590991,51.34019174590991
-18.43494882292201,168.6900675259798,168.6900675259798
-63.43494882292201,56.309932474020215,56.309932474020215
9.462322208025617,63.43494882292201,63.43494882292201
135.0,108.43494882292202,108.43494882292202
11.309932474020215,45.0,45.0
71.56505117707799,108.43494882292202,108.43494882292202
180.0,135.0,135.0
45.0,141.34019174590992,141.34019174590992
116.56505117707799,108.43494882292202,108.43494882292202
63.43494882292201,153.434948822922,153.434948822922
33.690067525979785,113.1985905136482,113.1985905136482
153.434948822922,-45.0,-45.0
56.309932474020215,153.434948822922,153.434948822922
116.56505117707799,14.036243467926479,14.036243467926479
-75.96375653207353,180.0,180.0
102.52880770915152,90.0,90.0
-120.96375653207352,161.565051177078,161.565051177078
90.0,-26.56505117707799,-26.56505117707799
-158.19859051364818,161.565051177078,161.565051177078
101.30993247402021,-56.309932474020215,-56.309932474020215
-90.0,168.6900675259798,168.6900675259798
128.6598082540901,-108.43494882292202,-108.43494882292202
-90.0,-153.434948822922,-153.434948822922
153.434948822922,161.565051177078,161.565051177078
-63.43494882292201,-63.43494882292201,-63.43494882292201
180.0,170.53767779197437,170.53767779197437
63.43494882292201,-56.309932474020215,-56.309932474020215
-135.0,-146.30993247402023,-146.30993247402023
75.96375653207353,180.0,180.0
-146.30993247402023,-53.13010235415598,-53.13010235415598
-135.0,-153.434948822922,-153.434948822922
0.0,45.0,45.0
-116.56505117707799,-75.96375653207353,-75.96375653207353
-126.86989764584402,-26.56505117707799,-26.56505117707799
0.0,-153.434948822922,-153.434948822922
-126.86989764584402,-56.309932474020215,-56.309932474020215
0.0,116.56505117707799,116.56505117707799
-111.80140948635183,-56.309932474020215,-56.309932474020215
63.43494882292201,-11.309932474020215,-11.309932474020215
-135.0,-161.565051177078,-161.565051177078
-90.0,-23.198590513648185,-23.198590513648185
18.43494882292201,0.0,0.0
-90.0,0.0,0.0
90.0,33.690067525979785,33.690067525979785
-45.0,-56.309932474020215,-56.309932474020215
90.0,45.0,45.0
-101.30993247402021,63.43494882292201,63.43494882292201
56.309932474020215,90.0,90.0
-95.71059313749964,18.43494882292201,18.43494882292201
39.8055710922652,63.43494882292201,63.43494882292201
-71.56505117707799,0.0,0.0
14.036243467926479,63.43494882292201,63.43494882292201
0.0,180.0,180.0
90.0,71.56505117707799,71.56505117707799
-26.56505117707799,56.309932474020215,56.309932474020215
-45.0,180.0,180.0
0.0,29.74488129694222,29.74488129694222
90.0,168.6900675259798,168.6900675259798
-63.43494882292201,63.43494882292201,63.43494882292201
90.0,180.0,180.0
-75.96375653207353,45.0,45.0
45.0,-135.0,-135.0
90.0,90.0,90.0
71.56505117707799,180.0,180.0
-26.56505117707799,63.43494882292201,63.43494882292201
141.34019174590992,180.0,180.0
0.0,45.0,45.0
90.0,180.0,180.0
135.0,45.0,45.0
-90.0,135.0,135.0
135.0,135.0,135.0
-153.434948822922,180.0,180.0
111.80140948635183,0.0,0.0
-90.0,180.0,180.0
126.86989764584402,90.0,90.0
90.0,-153.434948822922,-153.434948822922
135.0,90.0,90.0
161.565051177078,180.0,180.0
-161.565051177078,-90.0,-90.0
-135.0,-116.56505117707799,-116.56505117707799
180.0,-90.0,-90.0
-161.565051177078,180.0,180.0
-63.43494882292201,-80.53767779197439,-80.53767779197439
161.565051177078,90.0,90.0
180.0,-120.96375653207352,-120.96375653207352
-161.565051177078,-53.13010235415598,-53.13010235415598
90.0,135.0,135.0
165.96375653207352,-90.0,-90.0
-90.0,33.690067525979785,33.690067525979785
180.0,-101.30993247402021,-101.30993247402021
-71.56505117707799,45.0,45.0
-153.434948822922,-83.6598082540901,-83.6598082540901
-56.309932474020215,82.8749836510982,82.8749836510982
-90.0,-69.44395478041653,-69.44395478041653
180.0,111.80140948635183,111.80140948635183
-63.43494882292201,-11.309932474020215,-11.309932474020215
-90.0,0.0,0.0
-63.43494882292201,0.0,0.0
-56.309932474020215,-71.56505117707799,-71.56505117707799
-90.0,-26.56505117707799,-26.56505117707799
-75.96375653207353,-75.96375653207353,-75.96375653207353
45.0,75.96375653207353,75.96375653207353
-99.46232220802563,-75.96375653207353,-75.96375653207353
63.43494882292201,49.398705354995535,49.398705354995535
-90.0,-146.30993247402023,-146.30993247402023
75.96375653207353,26.56505117707799,26.56505117707799
-63.43494882292201,-90.0,-90.0
0.0,63.43494882292201,63.43494882292201
180.0,0.0,0.0
0.0,26.56505117707799,26.56505117707799
