phase_cycle1,phase_cycle2,phase_cycle3,phase_cycle4,phase_cycle5,phase_cycle6,phase_cycle7,phase_cycle8,phase_cycle9,phase_cycle10,phase_cycle11,phase_cycle12,phase_cycle13,phase_cycle14,phase_cycle15,phase_cycle16,phase_cycle17,phase_cycle18,phase_cycle19,phase_cycle20,phase_cycle21,phase_cycle22,phase_cycle23,phase_cycle24,phase_cycle25,phase_cycle26,phase_cycle27,phase_cycle28,phase_cycle29
-90.0,63.43494882292201,63.43494882292201,-127.3666694127687,5.305109606210384,90.0,-62.3909499455507,-39.74972727026695,-4.830419958289941,-82.50414236027014,,111.30578361782878,173.31309067381764,-59.38651897883413,-31.607502246248906,-31.607502246248906,98.1980688460163,97.74034115883794,58.363964001372416,,-90.0,114.46979861245416,,-140.01311375503582,-140.01311375503582,-123.6900675259798,-105.94539590092286,116.99583839408663,112.02727866917134
104.03624346792648,-45.0,-45.0,-119.40718906073367,12.907408671265838,93.1221304621157,-58.834853156658724,-35.3266445675965,-8.569141879837643,-73.7676493388438,,120.8768130790604,176.56636963754949,-53.7778173861372,-23.078221406040857,-23.078221406040857,101.21884228126883,105.30334746230096,65.37643521383639,,-98.13010235415598,119.54798935887034,,-135.2569300245035,-135.2569300245035,63.43494882292201,-85.48601154199874,122.90524292298791,114.65589874408161
-50.19442890773481,105.94539590092286,105.94539590092286,-113.60411504291424,17.81888891452278,107.41797079220285,-51.15310415119675,-27.588081365745825,8.972626614896393,-67.99589402608332,,124.50852298766841,-175.62920296209253,-46.201833064452124,-17.5924245621816,-17.5924245621816,110.44954761079259,109.68940044560355,69.59011716619602,,-87.13759477388825,126.11934084947974,,-125.20015133113236,-125.20015133113236,-116.56505117707799,-80.78897345918334,132.3974377975002,124.9579763644705
180.0,-54.46232220802562,-54.46232220802562,-109.942384581697,25.259390519808907,109.74683660542613,-45.212994481711426,-20.833370157014517,8.226722464108173,-61.011177478808456,,132.59978553914337,-171.2538377374448,-41.729512076816434,-10.304846468766033,-10.304846468766033,113.1985905136482,117.81041544384634,76.45682335755525,,-85.0302592718897,133.6140821491878,,-121.55713234316964,-121.55713234316964,0.0,-74.21924669048461,136.80873932249207,128.23382517744696
-21.80140948635181,78.69006752597979,78.69006752597979,-100.67635568269581,31.092222190145304,112.98871680208065,-38.418055344821994,-16.557071375636653,19.04662429763581,-55.93112292241145,,139.1538530869512,-161.565051177078,-32.98852161363456,-3.8140748342903543,-3.8140748342903543,122.40667004389688,122.71904559490063,84.0938588862295,,-66.80140948635182,139.3987053549955,,-112.08717160322834,-112.08717160322834,-75.96375653207353,-66.64443514071401,143.7461622625552,137.84661691581613
-116.56505117707799,-71.56505117707799,-71.56505117707799,-95.65948184016248,37.63194892837782,128.6598082540901,-32.167052585775856,-6.7400560979469475,21.44773632710535,-46.89338584574627,,145.5610106911964,-159.14554196042167,-29.190311518239078,0.7794863211184798,0.7794863211184798,126.95390899254761,129.9117398024624,87.7245435617458,,-81.86989764584403,146.40249423438908,,-107.42543604030563,-107.42543604030563,-108.43494882292202,-59.53445508054013,153.434948822922,142.7500364229193
45.0,90.0,90.0,-90.51616422976485,45.502581666721035,123.6900675259798,-26.990507066334896,-4.763641690726177,33.2152514937372,-43.85880074441286,,151.2849224718834,-151.36313675087476,-21.589791687713987,7.783559526465401,7.783559526465401,133.8426669318705,135.0,97.36474624498265,,180.0,154.19884728385202,,-100.12467165539782,-100.12467165539782,-18.43494882292201,-52.1250163489018,157.27026792005532,148.9503428133774
-71.56505117707799,-45.0,-45.0,-81.2538377374448,50.806726905531576,135.0,-18.04116959683518,5.092115124498962,33.36636600105956,-34.835830364154894,,158.04559814158264,-143.1980688460163,-15.018360631150669,12.488085768948512,12.488085768948512,140.29521293661713,143.73146726941422,99.34467190209969,,-158.19859051364818,157.73600488258145,,-95.07960786001458,-95.07960786001458,-104.03624346792648,-45.60309119438053,163.3007557660064,154.49586051318624
63.43494882292201,56.309932474020215,56.309932474020215,-78.58416047559298,57.425942865427494,149.03624346792648,-14.995079129175986,9.090276920822323,47.260501911141276,-30.579226872489016,,164.05460409907712,-139.18491612511843,-10.024486795946627,21.00968403415997,21.00968403415997,145.7842978675626,146.9875119434605,109.11972632993117,,125.53767779197437,168.8930033226277,,-88.71747291728983,-88.71747291728983,39.8055710922652,-42.049220890993645,170.19390724010293,164.8459319496874
-33.690067525979785,-108.43494882292202,-108.43494882292202,-70.6258602313424,64.3231843181618,142.43140797117252,-5.548466293718066,15.945395900922854,50.931526924919766,-22.878058028118154,,170.28331418221492,-132.0585350060889,-1.051180749543747,26.075355583948767,26.075355583948767,154.81947152959518,155.46755759956858,115.60218755144177,,168.6900675259798,170.90972307917767,,-80.32173994686606,-80.32173994686606,-98.74616226255522,-35.36246188706905,176.18592516570965,163.98456039373434
